feature,importance,fold
BURO_CREDIT_ACTIVE_ACTIVE_MEAN,393,1
BURO_CREDIT_ACTIVE_BADDEBT_MEAN,0,1
BURO_CREDIT_ACTIVE_CLOSED_MEAN,486,1
BURO_CREDIT_ACTIVE_SOLD_MEAN,92,1
BURO_CREDIT_ACTIVE_NAN_MEAN,0,1
BURO_CREDIT_CURRENCY_CURRENCY1_MEAN,0,1
BURO_CREDIT_CURRENCY_CURRENCY2_MEAN,0,1
BURO_CREDIT_CURRENCY_CURRENCY3_MEAN,0,1
BURO_CREDIT_CURRENCY_CURRENCY4_MEAN,0,1
BURO_CREDIT_CURRENCY_NAN_MEAN,0,1
BURO_CREDIT_TYPE_ANOTHERTYPEOFLOAN_MEAN,25,1
BURO_CREDIT_TYPE_CARLOAN_MEAN,232,1
BURO_CREDIT_TYPE_CASHLOANNONEARMARKED_MEAN,0,1
BURO_CREDIT_TYPE_CONSUMERCREDIT_MEAN,757,1
BURO_CREDIT_TYPE_CREDITCARD_MEAN,889,1
BURO_CREDIT_TYPE_INTERBANKCREDIT_MEAN,0,1
BURO_CREDIT_TYPE_LOANFORBUSINESSDEVELOPMENT_MEAN,29,1
BURO_CREDIT_TYPE_LOANFORPURCHASEOFSHARESMARGINLENDING_MEAN,0,1
BURO_CREDIT_TYPE_LOANFORTHEPURCHASEOFEQUIPMENT_MEAN,0,1
BURO_CREDIT_TYPE_LOANFORWORKINGCAPITALREPLENISHMENT_MEAN,0,1
BURO_CREDIT_TYPE_MICROLOAN_MEAN,175,1
BURO_CREDIT_TYPE_MOBILEOPERATORLOAN_MEAN,0,1
BURO_CREDIT_TYPE_MORTGAGE_MEAN,151,1
BURO_CREDIT_TYPE_REALESTATELOAN_MEAN,0,1
BURO_CREDIT_TYPE_UNKNOWNTYPEOFLOAN_MEAN,0,1
BURO_CREDIT_TYPE_NAN_MEAN,0,1
BURO_STATUS_0_MEAN_MEAN,782,1
BURO_STATUS_1_MEAN_MEAN,405,1
BURO_STATUS_2_MEAN_MEAN,167,1
BURO_STATUS_3_MEAN_MEAN,19,1
BURO_STATUS_4_MEAN_MEAN,25,1
BURO_STATUS_5_MEAN_MEAN,36,1
BURO_STATUS_C_MEAN_MEAN,572,1
BURO_STATUS_X_MEAN_MEAN,671,1
BURO_STATUS_NAN_MEAN_MEAN,0,1
ACTIVE_DAYS_CREDIT_MIN,1254,1
ACTIVE_DAYS_CREDIT_MAX,1678,1
ACTIVE_DAYS_CREDIT_MEAN,1451,1
ACTIVE_DAYS_CREDIT_VAR,1504,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,1893,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,1473,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,1465,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2130,1
ACTIVE_CREDIT_DAY_OVERDUE_MAX,101,1
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,44,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,789,1
ACTIVE_AMT_CREDIT_SUM_MAX,1065,1
ACTIVE_AMT_CREDIT_SUM_MEAN,1261,1
